*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Nov 11 14:21:47 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Nov-10 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Nov-17 00:00:00.0000 TDB
Step-size       : 4 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460989.527777778, A.D. 2025-Nov-10 00:40:00.0000,  1.000704422530298E+08,  1.092534501740540E+08, -7.381078300617635E+03, -2.243862730834134E+01,  2.001119783906891E+01, -5.015788400157817E-04,  4.941975793268095E+02,  1.481567070440342E+08, -3.992458373349521E-01,
2460989.530555556, A.D. 2025-Nov-10 00:44:00.0000,  1.000650568645186E+08,  1.092582527340939E+08, -7.381198595516384E+03, -2.243961027691762E+01,  2.001013581795777E+01, -5.008786896718576E-04,  4.941972597158132E+02,  1.481566112270680E+08, -3.992288818464312E-01,
2460989.533333333, A.D. 2025-Nov-10 00:48:00.0000,  1.000596712401005E+08,  1.092630550392425E+08, -7.381318722426891E+03, -2.244059319989521E+01,  2.000907374508310E+01, -5.001788803671303E-04,  4.941969401183890E+02,  1.481565154141707E+08, -3.992119297875771E-01,
2460989.536111111, A.D. 2025-Nov-10 00:52:00.0000,  1.000542853797863E+08,  1.092678570894874E+08, -7.381438681408763E+03, -2.244157607726870E+01,  2.000801162044398E+01, -4.994794123289736E-04,  4.941966205345346E+02,  1.481564196053414E+08, -3.991949811585674E-01,
2460989.538888889, A.D. 2025-Nov-10 00:56:00.0000,  1.000488992835871E+08,  1.092726588848161E+08, -7.381558472558856E+03, -2.244255890903267E+01,  2.000694944403953E+01, -4.987802857803203E-04,  4.941963009642472E+02,  1.481563238005794E+08, -3.991780359596024E-01,
2460989.541666667, A.D. 2025-Nov-10 01:00:00.0000,  1.000435129515136E+08,  1.092774604252164E+08, -7.381678095974028E+03, -2.244354169518171E+01,  2.000588721586885E+01, -4.980815009476558E-04,  4.941959814075238E+02,  1.481562279998839E+08, -3.991610941908369E-01,
2460989.544444445, A.D. 2025-Nov-10 01:04:00.0000,  1.000381263835770E+08,  1.092822617106756E+08, -7.381797551713884E+03, -2.244452443571041E+01,  2.000482493593105E+01, -4.973830580574656E-04,  4.941956618643621E+02,  1.481561322032540E+08, -3.991441558524552E-01,
2460989.547222222, A.D. 2025-Nov-10 01:08:00.0000,  1.000327395797881E+08,  1.092870627411815E+08, -7.381916839875281E+03, -2.244550713061334E+01,  2.000376260422525E+01, -4.966849573309062E-04,  4.941953423347588E+02,  1.481560364106888E+08, -3.991272209446315E-01,
2460989.550000000, A.D. 2025-Nov-10 01:12:00.0000,  1.000273525401580E+08,  1.092918635167215E+08, -7.382035960517824E+03, -2.244648977988508E+01,  2.000270022075059E+01, -4.959871989962394E-04,  4.941950228187115E+02,  1.481559406221876E+08, -3.991102894675177E-01,
2460989.552777778, A.D. 2025-Nov-10 01:16:00.0000,  1.000219652646974E+08,  1.092966640372833E+08, -7.382154913753271E+03, -2.244747238352022E+01,  2.000163778550616E+01, -4.952897832772862E-04,  4.941947033162176E+02,  1.481558448377496E+08, -3.990933614213012E-01,
2460989.555555556, A.D. 2025-Nov-10 01:20:00.0000,  1.000165777534176E+08,  1.093014643028544E+08, -7.382273699641228E+03, -2.244845494151333E+01,  2.000057529849111E+01, -4.945927103925385E-04,  4.941943838272739E+02,  1.481557490573739E+08, -3.990764368061401E-01,
2460989.558333333, A.D. 2025-Nov-10 01:24:00.0000,  1.000111900063292E+08,  1.093062643134224E+08, -7.382392318278551E+03, -2.244943745385898E+01,  1.999951275970455E+01, -4.938959805755871E-04,  4.941940643518779E+02,  1.481556532810596E+08, -3.990595156221898E-01,
2460989.561111111, A.D. 2025-Nov-10 01:28:00.0000,  1.000058020234433E+08,  1.093110640689749E+08, -7.382510769732296E+03, -2.245041992055175E+01,  1.999845016914564E+01, -4.931995940378187E-04,  4.941937448900268E+02,  1.481555575088061E+08, -3.990425978696083E-01,
2460989.563888889, A.D. 2025-Nov-10 01:32:00.0000,  1.000004138047710E+08,  1.093158635694995E+08, -7.382629054106772E+03, -2.245140234158622E+01,  1.999738752681350E+01, -4.925035510137121E-04,  4.941934254417181E+02,  1.481554617406124E+08, -3.990256835485508E-01,
2460989.566666667, A.D. 2025-Nov-10 01:36:00.0000,  9.999502535032304E+07,  1.093206628149837E+08, -7.382747171476483E+03, -2.245238471695694E+01,  1.999632483270728E+01, -4.918078517164304E-04,  4.941931060069488E+02,  1.481553659764777E+08, -3.990087726591690E-01,
2460989.569444444, A.D. 2025-Nov-10 01:40:00.0000,  9.998963666011047E+07,  1.093254618054150E+08, -7.382865121901035E+03, -2.245336704665850E+01,  1.999526208682612E+01, -4.911124963742353E-04,  4.941927865857160E+02,  1.481552702164012E+08, -3.989918652016151E-01,
2460989.572222222, A.D. 2025-Nov-10 01:44:00.0000,  9.998424773414429E+07,  1.093302605407812E+08, -7.382982905499637E+03, -2.245434933068546E+01,  1.999419928916917E+01, -4.904174852038423E-04,  4.941924671780174E+02,  1.481551744603821E+08, -3.989749611760439E-01,
2460989.575000000, A.D. 2025-Nov-10 01:48:00.0000,  9.997885857243541E+07,  1.093350590210697E+08, -7.383100522324443E+03, -2.245533156903238E+01,  1.999313643973558E+01, -4.897228184317370E-04,  4.941921477838499E+02,  1.481550787084196E+08, -3.989580605825784E-01,
2460989.577777778, A.D. 2025-Nov-10 01:52:00.0000,  9.997346917499480E+07,  1.093398572462681E+08, -7.383217972479761E+03, -2.245631376169383E+01,  1.999207353852452E+01, -4.890284962755231E-04,  4.941918284032108E+02,  1.481549829605128E+08, -3.989411634213736E-01,
2460989.580555555, A.D. 2025-Nov-10 01:56:00.0000,  9.996807954183346E+07,  1.093446552163640E+08, -7.383335256032646E+03, -2.245729590866438E+01,  1.999101058553512E+01, -4.883345189581334E-04,  4.941915090360976E+02,  1.481548872166609E+08, -3.989242696925813E-01,
2460989.583333333, A.D. 2025-Nov-10 02:00:00.0000,  9.996268967296229E+07,  1.093494529313450E+08, -7.383452373079956E+03, -2.245827800993858E+01,  1.998994758076656E+01, -4.876408866998361E-04,  4.941911896825071E+02,  1.481547914768631E+08, -3.989073793963119E-01,
2460989.586111111, A.D. 2025-Nov-10 02:04:00.0000,  9.995729956839234E+07,  1.093542503911987E+08, -7.383569323681295E+03, -2.245926006551100E+01,  1.998888452421801E+01, -4.869475997208994E-04,  4.941908703424371E+02,  1.481546957411185E+08, -3.988904925327202E-01,
2460989.588888889, A.D. 2025-Nov-10 02:08:00.0000,  9.995190922813453E+07,  1.093590475959125E+08, -7.383686107940972E+03, -2.246024207537619E+01,  1.998782141588864E+01, -4.862546582380389E-04,  4.941905510158845E+02,  1.481546000094264E+08, -3.988736091019257E-01,
2460989.591666667, A.D. 2025-Nov-10 02:12:00.0000,  9.994651865219982E+07,  1.093638445454742E+08, -7.383802725955844E+03, -2.246122403952871E+01,  1.998675825577761E+01, -4.855620624724111E-04,  4.941902317028465E+02,  1.481545042817858E+08, -3.988567291040581E-01,
2460989.594444444, A.D. 2025-Nov-10 02:16:00.0000,  9.994112784059919E+07,  1.093686412398711E+08, -7.383919177770615E+03, -2.246220595796312E+01,  1.998569504388411E+01, -4.848698126478368E-04,  4.941899124033205E+02,  1.481544085581961E+08, -3.988398525392496E-01,
2460989.597222222, A.D. 2025-Nov-10 02:20:00.0000,  9.993573679334366E+07,  1.093734376790911E+08, -7.384035463482141E+03, -2.246318783067398E+01,  1.998463178020731E+01, -4.841779089774789E-04,  4.941895931173037E+02,  1.481543128386564E+08, -3.988229794076201E-01,
2460989.600000000, A.D. 2025-Nov-10 02:24:00.0000,  9.993034551044413E+07,  1.093782338631215E+08, -7.384151583187282E+03, -2.246416965765582E+01,  1.998356846474640E+01, -4.834863516798293E-04,  4.941892738447935E+02,  1.481542171231657E+08, -3.988061097092829E-01,
2460989.602777778, A.D. 2025-Nov-10 02:28:00.0000,  9.992495399191162E+07,  1.093830297919500E+08, -7.384267536960542E+03, -2.246515143890322E+01,  1.998250509750056E+01, -4.827951409795972E-04,  4.941889545857869E+02,  1.481541214117234E+08, -3.987892434443638E-01,
2460989.605555556, A.D. 2025-Nov-10 02:32:00.0000,  9.991956223775712E+07,  1.093878254655642E+08, -7.384383324898779E+03, -2.246613317441070E+01,  1.998144167846900E+01, -4.821042770846162E-04,  4.941886353402813E+02,  1.481540257043286E+08, -3.987723806129795E-01,
2460989.608333333, A.D. 2025-Nov-10 02:36:00.0000,  9.991417024799156E+07,  1.093926208839515E+08, -7.384498947046697E+03, -2.246711486417283E+01,  1.998037820765089E+01, -4.814137602187074E-04,  4.941883161082740E+02,  1.481539300009805E+08, -3.987555212152270E-01,
2460989.611111111, A.D. 2025-Nov-10 02:40:00.0000,  9.990877802262597E+07,  1.093974160470997E+08, -7.384614403523505E+03, -2.246809650818415E+01,  1.997931468504545E+01, -4.807235906021390E-04,  4.941879968897622E+02,  1.481538343016782E+08, -3.987386652512390E-01,
2460989.613888889, A.D. 2025-Nov-10 02:44:00.0000,  9.990338556167130E+07,  1.094022109549962E+08, -7.384729694396257E+03, -2.246907810643921E+01,  1.997825111065186E+01, -4.800337684427447E-04,  4.941876776847431E+02,  1.481537386064209E+08, -3.987218127211125E-01,
2460989.616666667, A.D. 2025-Nov-10 02:48:00.0000,  9.989799286513856E+07,  1.094070056076286E+08, -7.384844819754362E+03, -2.247005965893255E+01,  1.997718748446934E+01, -4.793442939634573E-04,  4.941873584932139E+02,  1.481536429152078E+08, -3.987049636249511E-01,
2460989.619444444, A.D. 2025-Nov-10 02:52:00.0000,  9.989259993303868E+07,  1.094118000049846E+08, -7.384959779687226E+03, -2.247104116565870E+01,  1.997612380649710E+01, -4.786551673809925E-04,  4.941870393151720E+02,  1.481535472280381E+08, -3.986881179628520E-01,
2460989.622222222, A.D. 2025-Nov-10 02:56:00.0000,  9.988720676538269E+07,  1.094165941470516E+08, -7.385074574261904E+03, -2.247202262661223E+01,  1.997506007673434E+01, -4.779663889085128E-04,  4.941867201506146E+02,  1.481534515449109E+08, -3.986712757349156E-01,
2460989.625000000, A.D. 2025-Nov-10 03:00:00.0000,  9.988181336218157E+07,  1.094213880338173E+08, -7.385189203582704E+03, -2.247300404178765E+01,  1.997399629518028E+01, -4.772779587600695E-04,  4.941864009995390E+02,  1.481533558658254E+08, -3.986544369412517E-01,
2460989.627777778, A.D. 2025-Nov-10 03:04:00.0000,  9.987641972344629E+07,  1.094261816652692E+08, -7.385303667709231E+03, -2.247398541117952E+01,  1.997293246183415E+01, -4.765898771514898E-04,  4.941860818619423E+02,  1.481532601907808E+08, -3.986376015819352E-01,
2460989.630555556, A.D. 2025-Nov-10 03:08:00.0000,  9.987102584918787E+07,  1.094309750413948E+08, -7.385417966745794E+03, -2.247496673478236E+01,  1.997186857669516E+01, -4.759021443048184E-04,  4.941857627378218E+02,  1.481531645197764E+08, -3.986207696570758E-01,
2460989.633333333, A.D. 2025-Nov-10 03:12:00.0000,  9.986563173941727E+07,  1.094357681621819E+08, -7.385532100774348E+03, -2.247594801259072E+01,  1.997080463976254E+01, -4.752147604243362E-04,  4.941854436271748E+02,  1.481530688528112E+08, -3.986039411667546E-01,
2460989.636111111, A.D. 2025-Nov-10 03:16:00.0000,  9.986023739414547E+07,  1.094405610276178E+08, -7.385646069869399E+03, -2.247692924459913E+01,  1.996974065103552E+01, -4.745277257311997E-04,  4.941851245299985E+02,  1.481529731898843E+08, -3.985871161110465E-01,
2460989.638888889, A.D. 2025-Nov-10 03:20:00.0000,  9.985484281338350E+07,  1.094453536376902E+08, -7.385759874105453E+03, -2.247791043080211E+01,  1.996867661051333E+01, -4.738410404323545E-04,  4.941848054462902E+02,  1.481528775309951E+08, -3.985702944900548E-01,
2460989.641666667, A.D. 2025-Nov-10 03:24:00.0000,  9.984944799714237E+07,  1.094501459923867E+08, -7.385873513586819E+03, -2.247889157119420E+01,  1.996761251819522E+01, -4.731547047516216E-04,  4.941844863760472E+02,  1.481527818761427E+08, -3.985534763038445E-01,
2460989.644444444, A.D. 2025-Nov-10 03:28:00.0000,  9.984405294543302E+07,  1.094549380916948E+08, -7.385986988388002E+03, -2.247987266576994E+01,  1.996654837408041E+01, -4.724687188932819E-04,  4.941841673192667E+02,  1.481526862253262E+08, -3.985366615525127E-01,
2460989.647222222, A.D. 2025-Nov-10 03:32:00.0000,  9.983865765826647E+07,  1.094597299356021E+08, -7.386100298598409E+03, -2.248085371452384E+01,  1.996548417816816E+01, -4.717830830749392E-04,  4.941838482759459E+02,  1.481525905785449E+08, -3.985198502361084E-01,
2460989.650000000, A.D. 2025-Nov-10 03:36:00.0000,  9.983326213565370E+07,  1.094645215240962E+08, -7.386213444292545E+03, -2.248183471745045E+01,  1.996441993045771E+01, -4.710977975044273E-04,  4.941835292460822E+02,  1.481524949357979E+08, -3.985030423547286E-01,
2460989.652777778, A.D. 2025-Nov-10 03:40:00.0000,  9.982786637760577E+07,  1.094693128571646E+08, -7.386326425582170E+03, -2.248281567454426E+01,  1.996335563094832E+01, -4.704128624002379E-04,  4.941832102296727E+02,  1.481523992970843E+08, -3.984862379084285E-01,
2460989.655555556, A.D. 2025-Nov-10 03:44:00.0000,  9.982247038413359E+07,  1.094741039347949E+08, -7.386439242504537E+03, -2.248379658579983E+01,  1.996229127963923E+01, -4.697282779702050E-04,  4.941828912267145E+02,  1.481523036624034E+08, -3.984694368972796E-01,
2460989.658333333, A.D. 2025-Nov-10 03:48:00.0000,  9.981707415524824E+07,  1.094788947569747E+08, -7.386551895171404E+03, -2.248477745121166E+01,  1.996122687652971E+01, -4.690440444248267E-04,  4.941825722372052E+02,  1.481522080317543E+08, -3.984526393213566E-01,
2460989.661111111, A.D. 2025-Nov-10 03:52:00.0000,  9.981167769096069E+07,  1.094836853236915E+08, -7.386664383672178E+03, -2.248575827077429E+01,  1.996016242161902E+01, -4.683601619790423E-04,  4.941822532611419E+02,  1.481521124051362E+08, -3.984358451807180E-01,
2460989.663888889, A.D. 2025-Nov-10 03:56:00.0000,  9.980628099128194E+07,  1.094884756349329E+08, -7.386776708081365E+03, -2.248673904448222E+01,  1.995909791490642E+01, -4.676766308397973E-04,  4.941819342985219E+02,  1.481520167825484E+08, -3.984190544754188E-01,
2460989.666666667, A.D. 2025-Nov-10 04:00:00.0000,  9.980088405622299E+07,  1.094932656906865E+08, -7.386888868480921E+03, -2.248771977232999E+01,  1.995803335639118E+01, -4.669934512229190E-04,  4.941816153493421E+02,  1.481519211639898E+08, -3.984022672055211E-01,
2460989.669444445, A.D. 2025-Nov-10 04:04:00.0000,  9.979548688579488E+07,  1.094980554909398E+08, -7.387000864967704E+03, -2.248870045431208E+01,  1.995696874607257E+01, -4.663106233300240E-04,  4.941812964136003E+02,  1.481518255494598E+08, -3.983854833710766E-01,
2460989.672222222, A.D. 2025-Nov-10 04:08:00.0000,  9.979008948000859E+07,  1.095028450356805E+08, -7.387112697616220E+03, -2.248968109042305E+01,  1.995590408394987E+01, -4.656281473804924E-04,  4.941809774912935E+02,  1.481517299389575E+08, -3.983687029721376E-01,
2460989.675000000, A.D. 2025-Nov-10 04:12:00.0000,  9.978469183887516E+07,  1.095076343248959E+08, -7.387224366500974E+03, -2.249066168065739E+01,  1.995483937002236E+01, -4.649460235821579E-04,  4.941806585824189E+02,  1.481516343324821E+08, -3.983519260087593E-01,
2460989.677777778, A.D. 2025-Nov-10 04:16:00.0000,  9.977929396240555E+07,  1.095124233585739E+08, -7.387335871726274E+03, -2.249164222500962E+01,  1.995377460428932E+01, -4.642642521401896E-04,  4.941803396869735E+02,  1.481515387300327E+08, -3.983351524809810E-01,
2460989.680555556, A.D. 2025-Nov-10 04:20:00.0000,  9.977389585061081E+07,  1.095172121367019E+08, -7.387447213374078E+03, -2.249262272347425E+01,  1.995270978675004E+01, -4.635828332633096E-04,  4.941800208049552E+02,  1.481514431316086E+08, -3.983183823888514E-01,
2460989.683333333, A.D. 2025-Nov-10 04:24:00.0000,  9.976849750350197E+07,  1.095220006592674E+08, -7.387558391511440E+03, -2.249360317604579E+01,  1.995164491740380E+01, -4.629017671611280E-04,  4.941797019363607E+02,  1.481513475372089E+08, -3.983016157324193E-01,
2460989.686111111, A.D. 2025-Nov-10 04:28:00.0000,  9.976309892108999E+07,  1.095267889262581E+08, -7.387669406250119E+03, -2.249458358271875E+01,  1.995057999624991E+01, -4.622210540441429E-04,  4.941793830811876E+02,  1.481512519468328E+08, -3.982848525117177E-01,
2460989.688888889, A.D. 2025-Nov-10 04:32:00.0000,  9.975770010338593E+07,  1.095315769376615E+08, -7.387780257657170E+03, -2.249556394348764E+01,  1.994951502328766E+01, -4.615406941228528E-04,  4.941790642394329E+02,  1.481511563604795E+08, -3.982680927267759E-01,
2460989.691666667, A.D. 2025-Nov-10 04:36:00.0000,  9.975230105040078E+07,  1.095363646934651E+08, -7.387890945814550E+03, -2.249654425834695E+01,  1.994844999851633E+01, -4.608606875944332E-04,  4.941787454110938E+02,  1.481510607781480E+08, -3.982513363776494E-01,
2460989.694444444, A.D. 2025-Nov-10 04:40:00.0000,  9.974690176214558E+07,  1.095411521936566E+08, -7.388001470811665E+03, -2.249752452729121E+01,  1.994738492193525E+01, -4.601810346782642E-04,  4.941784265961677E+02,  1.481509651998377E+08, -3.982345834643514E-01,
2460989.697222222, A.D. 2025-Nov-10 04:44:00.0000,  9.974150223863135E+07,  1.095459394382235E+08, -7.388111832737923E+03, -2.249850475031491E+01,  1.994631979354372E+01, -4.595017355732978E-04,  4.941781077946520E+02,  1.481508696255477E+08, -3.982178339869180E-01,
2460989.700000000, A.D. 2025-Nov-10 04:48:00.0000,  9.973610247986911E+07,  1.095507264271534E+08, -7.388222031667829E+03, -2.249948492741256E+01,  1.994525461334105E+01, -4.588227904882558E-04,  4.941777890065438E+02,  1.481507740552771E+08, -3.982010879453786E-01,
2460989.702777778, A.D. 2025-Nov-10 04:52:00.0000,  9.973070248586988E+07,  1.095555131604337E+08, -7.388332067690790E+03, -2.250046505857865E+01,  1.994418938132656E+01, -4.581441996309721E-04,  4.941774702318402E+02,  1.481506784890252E+08, -3.981843453397468E-01,
2460989.705555555, A.D. 2025-Nov-10 04:56:00.0000,  9.972530225664467E+07,  1.095602996380523E+08, -7.388441940918565E+03, -2.250144514380768E+01,  1.994312409749955E+01, -4.574659632048395E-04,  4.941771514705387E+02,  1.481505829267911E+08, -3.981676061700553E-01,
2460989.708333333, A.D. 2025-Nov-10 05:00:00.0000,  9.971990179220453E+07,  1.095650858599964E+08, -7.388551651395857E+03, -2.250242518309416E+01,  1.994205876185936E+01, -4.567880814159153E-04,  4.941768327226363E+02,  1.481504873685740E+08, -3.981508704363271E-01,
2460989.711111111, A.D. 2025-Nov-10 05:04:00.0000,  9.971450109256046E+07,  1.095698718262538E+08, -7.388661199219525E+03, -2.250340517643259E+01,  1.994099337440531E+01, -4.561105544711452E-04,  4.941765139881305E+02,  1.481503918143730E+08, -3.981341381385596E-01,
2460989.713888889, A.D. 2025-Nov-10 05:08:00.0000,  9.970910015772352E+07,  1.095746575368120E+08, -7.388770584493876E+03, -2.250438512381744E+01,  1.993992793513672E+01, -4.554333825819157E-04,  4.941761952670184E+02,  1.481502962641874E+08, -3.981174092767888E-01,
